,Passage,Group,Length,Accuracy Scores,Execution Times
13,UN_Adaptation_Gap_Report.txt,medium,714,"[0.21087737301180093, 0.1741918932786044, 0.21395587480759365, 0.013596716264751155, 0.1521292970754233, 1.0]","[11.893871068954468, 11.996423721313477, 11.744141101837158, 12.11123013496399, 11.925303936004639, 9.986799001693726]"
14,Pride_and_Prejudice.txt,medium,700,"[0.4285257435241445, 0.9990406140070355, 0.9990406140070355, 0.19091781259993604, 0.9990406140070355, 0.9990406140070355]","[9.845692873001099, 8.47462797164917, 8.403515815734863, 10.242883920669556, 8.195033073425293, 8.275901079177856]"
15,To_Kill_A_Mockingbird.txt,medium,682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[8.374861240386963, 8.334353923797607, 8.345718145370483, 8.45549201965332, 8.397710084915161, 8.31995177268982]"
16,New_York_Times_Politics.txt,long,1271,"[0.19144769055002447, 0.1741472172351885, 0.15211359556063325, 0.1361188183450302, 0.2105434960013057, 1.0]","[17.554160833358765, 17.6072781085968, 17.703243017196655, 17.534425735473633, 17.845654010772705, 15.424676179885864]"
17,Lion_Witch_Wardrobe.txt,long,1244,"[1.0, 1.0, 1.0, 0.2627084180561204, 0.3399755998373323, 1.0]","[12.492864847183228, 12.767582893371582, 12.781867980957031, 15.068020820617676, 15.12994122505188, 12.384896993637085]"
18,CS109_Course_Reader.txt,long,1220,"[1.0, 1.0, 1.0, 1.0, 0.2348549126081792, 1.0]","[14.57027792930603, 14.157399892807007, 14.170155048370361, 14.033473014831543, 17.349131107330322, 14.132642030715942]"
19,Federalist_Papers.txt,long,1098,"[1.0, 1.0, 0.24044117647058824, 1.0, 1.0, 0.04724264705882353]","[12.845394849777222, 12.881229877471924, 15.45159101486206, 12.530441999435425, 12.775930881500244, 15.402817010879517]"
20,Harry_Potter.txt,long,1323,"[1.0, 0.43631532329495126, 1.0, 1.0, 1.0, 0.39433126660761736]","[13.44533395767212, 16.228614330291748, 13.855567932128906, 13.487632989883423, 13.66231894493103, 16.5717511177063]"
21,UN_Adaptation_Gap_Report.txt,long,1089,"[1.0, 0.2782537067545305, 1.0, 1.0, 1.0, 1.0]","[14.42770791053772, 16.941706895828247, 13.972737073898315, 13.917460203170776, 14.151543140411377, 14.426071643829346]"
22,Pride_and_Prejudice.txt,long,1533,"[0.3520814880425155, 1.0, 1.0, 0.4366696191319752, 1.0, 0.4267788603483909]","[19.100014209747314, 16.38304829597473, 16.5667667388916, 19.22256898880005, 15.75111722946167, 19.313740015029907]"
23,To_Kill_A_Mockingbird.txt,long,1483,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[15.853330135345459, 15.417103290557861, 15.730276823043823, 15.485981225967407, 15.465476989746094, 15.41794204711914]"
